Código;Nombre;Información Adicional;Valor
ANI1001;ANILLADOS;;2,50
AV00003;LICENCIA DIGITAL WINDOWS 10 PROFESIONAL;;35,00
AV0002;LICENCIA DIGITAL OFFICE 2021;;35,00
AV001;LICENCIA MCAFEE 365 DIAS;LICENCIA MCAFFE ANTIVIRUS ACTIVA POR UN AÑO;35,00
BAT10001;BATERIA HP LK03XL;;80,00
BOMTINEP10001;KIT BOMBA DE TINTA EPSON;;17,86
CABL1001;CABLE DE RED;CABLE DE RED POR METRO;0,65
CABL1002;CABLE DE RED PONCHADO 6 METROS;;6,00
CAP1003;CAPACITADORES CPU;;15,00
CARP001;CARPETA PLASTICA DE DOS ANILLOS GRANDES;;3,79
CHIP10002;CHIPS CLARO;;3,57
COP1001;COPIAS A COLOR;;0,45
COP1002;COPIAS;;0,05
FIRET;FIRE TV STICK;;40,00
FUENT1002;FUENTE DE PODER CPU PEQUEÑA;;45,00
IMP10023;IMPRESIONES A COLOR EN CARTULINA;;0,95
IMP1003;IMPRESIONES;;0,10
IMPCOL001;IMPRESIONES FULL COLOR;;0,58
IMPR10025;IMPRESIONES TODA LA HOJA A COLOR;;0,67
IMPR50001;IMPRESIONES FULL COLOR EN PAPEL FOTOGRAFICO;;1,75
INST10001;INSTALACION DE COMPONENTE IMPRESORA;;8,93
MANT0010;CABEZAL ORIGINAL IMPRESORA EPSON L395;CABEZAL IMPRESORA EPSON L355 / L380 / L385 / ET2550;95,00
MANT0011;MAINBOARD IMPRESORA EPSON L3XX;MAINBOARD IMPRESORA EPSON;65,00
MANT10010;MANTENIMIENTO DE IMPRESORA;DESTAPE CABEZAL, REEMPLAZO BOMBA, MANTENIMIENTO GENERAL;75,00
MANT100102;MANTENIMIENTO E INSTALACION DE PROGRAMAS;MANT, E INSTALACION DE PROGRAMAS EN LAPTOP;35,00
MANT100103;REPARACION DE LECTOR DE HUELLAS DIGITALES;REPARACION DE LECTOR DE HUELLAS DIGITALES PARA MARCACION;42,00
MANT100120;MANTENIMIENTO Y REPARACION DE PC;;107,14
MANT1003;INSTALACION Y CONFIGURACION DE RED;;35,00
MANT10030;REPARACION TARJETA PRINCIPAL IMPRESORA;;15,00
MANT10031;MECANISMO SENSOR DE HOJA/ BOMBA DE TINTA;;20,00
MANT10033;MANO DE OBRA MANTENIMIENTO;;15,00
MANT12001;MANTENIMIENTO GENERAL DE EQUIPOS;;25,00
MANT20003;MANTENIMIENTO DE PC;;25,00
MANT23005;MANTENIMIENTO IMPRESORA;;25,00
MANT25630;DISPLAY FULL HD PARA LAPTOP GATEWAY;;155,00
MANT30001;BATERIA APC SB-1272 12V 7,2AH;;24,00
MANT30002;REPARACION DE IMPRESORA EPSON L355;CAMBIO DE MOTOR Y BANDA DE CABEZAL;55,00
MANT30003;SWITCH TP LINK;;20,00
MANT30004;INSTALACIONES DE SISTEMA OPERATIVO Y PROGRAMAS;( MAQUINAS DE IVONNE RAMIREZ Y CONTABILIDAD);25,00
MANT30005;DISCO DURO SSD 256 GB WD;;45,00
MANT30006;MANTENIMIENTO Y REPARACION DE IMPRESORA;REPARACION DE MECANISMO Y CAMBIO DE FLEX DE CABEZAL;45,00
MANT30007;CAMBIO DE BATERIA MACBOOK PRO;;15,00
MANT5000126;MANTENIMIENTO DE CÁMARA HD PANASONIC 150P CORRECCIÓN DE TARJETA RGB Y WHITE BALANCE;INCLUYE CHEQUEO DE VISOR LED;75,00
MANT9000101;MANTENIMIENTO PREVENTIVO DE ECOGRAFO;MARCA EDAN MODELO:DUS60 SERIE:560002M1970871;150,00
MANTBT350;MANTENIMIENTO PREVENTIVO MONITOR FETAL;MARCA BISTOS;100,00
MANTCAM000127;MANTENIMIENTO CAMARA PANASONIC MODEL AG-CX10;MANT, INTERNO LIMPIEZA GENERAL Y CALIRBACION;45,00
MEM1003;MEMORIAS DE COMPUTADORA;;25,00
MERC0001;FIRETV STICK;;45,00
PAP11001;MARCADORES PERMANENTES DOBLE PUNTA PASSOLA;;0,89
PAP1150;CINTA PARA POMPO;;3,00
PAPE001;ACUARELAS BESTER;PAPELERIA;1,34
PAPE002;ACUARELAS LANCEER;PAPELERIA;0,66
PAPE003;AGENDAS AÑO 2023;PAPELERIA;5,80
PAPE004;BORRADORES BLANCOS GRANDES PELIKAN /  ARTESCO;PAPELERIA;0,54
PAPE005;BORRADORES BLANCOS PEQUEÑOS PELIKAN / ARTESCO;PAPELERIA;0,31
PAPE006;BOTELLAS DE PINTURAS ACRILICAS VARIOS COLORES;PAPELERIA;0,89
PAPE007;BOTELLAS DE SILICON MEDIANAS;PAPELERIA;1,34
PAPE008;BOTELLAS DE SILICON PEQUEÑAS;PAPELERIA;0,67
PAPE009;BOTELLAS DE SILICON GRANDES;PAPELERIA;1,79
PAPE010;BOTELLAS DE TEMPERAS VARIOS COLORES ARTESCO PELIKAN;PAPELERIA;1,21
PAPE011;CAJA DE CHINCHES DE COLORES ARTESCO;PAPELERIA;0,89
PAPE012;CAJA DE CLIP CAJA VERDE;PAPELERIA;0,67
PAPE013;CAJA DE CLIP MARIPOSA POR UNIDAD ;PAPELERIA;0,09
PAPE014;CAJA DE CLIPS DE COLORES ARTESCO;PAPELERIA;0,67
PAPE015;CAJA DE COLORES ACRILICOS X 6;PAPELERIA;3,79
PAPE016;COMPAS DE PRECISION;PAPELERIA;1,34
PAPE017;CAJA DE GRAPAS ARTESCO 26/6 PEQUEÑAS;PAPELERIA;0,45
PAPE018;CAJA MARCADORES FABER CASTELL;PAPELERIA;1,99
PAPE019;CAJAS DE GRAPAS 26/6 ALEX /ARTESCO;PAPELERIA;1,34
PAPE020;CAJITAS DE REGALOS GRANDES;PAPELERIA;2,20
PAPE021;CAJITAS DE REGALOS PEQUEÑAS;PAPELERIA;1,20
PAPE022;CARTUILINA BLANCA A3 UNIDAD;PAPELERIA;0,20
PAPE023;CARTULINA BLANCA PLIEGO;PAPELERIA;0,67
PAPE024;CARTULINA BRISTOL A4 BLANCA A4 PAQ 25;PAPELERIA;1,79
PAPE025;CARTULINA BRISTOL A4 BLANCA A4 UNIDAD;PAPELERIA;0,09
PAPE026;CARTULINA IRIS A4 VARIOS COLORES UNIDAD;PAPELERIA;0,19
PAPE027;CARTULINA VARIOS COLORES  A3 UNIDAD;PAPELERIA;0,22
PAPE028;CARTULINA  BRISTOL VARIOS COLORES PLIEGO;PAPELERIA;0,67
PAPE029;CD-R;PAPELERIA;0,89
PAPE030;CINTA DE EMBALAJE GRANDE;PAPELERIA;1,56
PAPE031;CINTA DE EMBALAJE PEQUEÑA;PAPELERIA;1,34
PAPE032;CINTA DE MASKIN GRANDE;PAPELERIA;1,79
PAPE033;CINTA MASKING CP100;PAPELERIA;1,12
PAPE034;CINTA MASKING GM-101;PAPELERIA;0,89
PAPE035;CINTA DE TELA GRANDES VARIOS COLORES;PAPELERIA;0,31
PAPE036;CINTA DE TELA PEQUEÑAS VARIOS COLORES;PAPELERIA;0,31
PAPE037;CINTA DOBLE FAZ;PAPELERIA;1,34
PAPE038;CINTA DOBLE FAZ PEGAFAN;PAPELERIA;2,46
PAPE039;CINTA SCOTCH PEQUEÑA;PAPELERIA;0,31
PAPE040;CINTA MASKING EXTRA GRANDE;PAPELERIA;1,79
PAPE041;CINTA PARA HACER POMPOS VARIOS COLORES POR YARDA;PAPELERIA;0,31
PAPE042;CORRECTORES ARTESCO PEQUEÑO;PAPELERIA;0,54
PAPE043;CORRECTORES ESTILO PEQUEÑO;PAPELERIA;0,54
PAPE044;CORTINAS DE FIESTA VARIOS COLORES;PAPELERIA;1,34
PAPE045;CRAYONES JUMBO BESTER;PAPELERIA;2,23
PAPE046;CRAYONES NEON ARTESCO;PAPELERIA;2,23
PAPE047;CUADERNOS UNIVERSITARIOS;PAPELERIA;1,56
PAPE048;CUADERNOS UNIVERSITARIOS DE LINEA;PAPELERIA;1,56
PAPE049;CUADERNOS UNIVERSITARIOS DE 2 LINEAS;PAPELERIA;1,56
